learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.161780781,5.8922051225230105E-9,1000.0,0.9864468380625303,0.8885930776146959,0.966,0.9318760143461099,0.0,1.053388090349076,0.9651329864929357,0.9883040935672515,0.9300411522633745,1000.0,140784.0,15.0,0.635912504142111,0.364087495857889,1099.533333333333,8.687630323334467,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.249544003,9.088622540223103E-9,2000.0,0.9954757104454686,0.9158899684744769,0.978,0.9560126683515148,0.9864468380625303,0.9841269841269841,0.9779310846625167,1.0,0.9545923632610939,2000.0,140784.0,15.0,0.48902865552466884,0.5109713444753313,2200.5333333333333,12.435688529645182,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.315880411,1.1505891259449225E-8,3000.0,0.9961718621870387,0.9217304174613078,0.98,0.9599899174591997,0.9954757104454686,1.012072434607646,0.9797237135580503,0.9980119284294234,0.9590443686006825,3000.0,140856.0,15.0,0.3110290467183751,0.6889709532816248,3306.733333333333,15.239505887086358,2948.266666666667,4.266666666666686,1.1333333333333335,0.1333333333333333,1.0666666666666669,0.06666666666666665,1.0666666666666669,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.439426216,1.846120069436729E-8,4000.0,0.9950997493734336,0.8948802579069554,0.978,0.9559427255432061,0.9961718621870387,0.9047619047619048,0.9784853519393634,0.9894736842105263,0.954568921011874,4000.0,217616.0,15.0,0.4652095482487852,0.5347904517512148,4438.000000000001,13.837492203292907,8022.933333333334,489.1900348113503,4.599999999999999,0.3491486243775877,2.7999999999999994,0.17457431218879385,2.7999999999999994,0.17457431218879385,1.7999999999999998,0.17457431218879388,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.531973533,2.4491726035469522E-8,5000.0,0.99832,0.916536917040603,0.98,0.96,0.9950997493734336,1.0,0.9799489782636644,0.99,0.9592668024439918,5000.0,251880.0,15.0,0.6816645321740291,0.3183354678259709,5573.266666666666,14.503026504070682,10287.999999999998,525.4170588344898,6.2,0.3804758924845368,3.6,0.1902379462422684,3.6,0.1902379462422684,2.333333333333334,0.1868706368604627,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.606473326,2.9549617265200037E-8,6000.0,0.9927976664439279,0.9303539916116609,0.985,0.9700021598444911,0.99832,0.9646365422396856,0.9851347313450096,0.9959266802443992,0.9694397283531409,6000.0,262432.0,15.0,0.5270062546542634,0.4729937453457367,6681.400000000001,20.223701323894584,10985.066666666668,609.3573153559231,6.7333333333333325,0.4305773163983739,3.8666666666666663,0.21528865819918694,3.8666666666666663,0.21528865819918694,2.6000000000000005,0.2138089935299395,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.673368164,3.4097843268168055E-8,7000.0,0.9980433660506004,0.9331477480539503,0.986,0.9720030236734433,0.9927976664439279,0.9646365422396856,0.9861415121201136,0.9979633401221996,0.9714867617107943,7000.0,262816.0,15.0,0.593844194549241,0.4061558054507589,7773.666666666668,20.97178754936908,11010.133333333333,609.8640431367561,6.866666666666667,0.4963357798398242,3.9333333333333327,0.248167889919912,3.9333333333333327,0.248167889919912,2.6000000000000005,0.2138089935299395,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.754702268,4.002607254937498E-8,8000.0,0.9963282401178807,0.9258618046689975,0.982,0.9639261206951837,0.9980433660506004,1.0661157024793388,0.9813287513698472,0.998062015503876,0.9632840387557369,8000.0,281744.0,15.0,0.5601516856610853,0.43984831433891497,8880.866666666669,24.425565581338233,12260.8,639.2394528619444,7.800000000000001,0.42761798705987897,4.3999999999999995,0.21380899352993948,4.3999999999999995,0.21380899352993948,3.066666666666667,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.844858787,4.759223409716247E-8,9000.0,0.9992159874557993,0.9214394589200994,0.983,0.9660029917367271,0.9963282401178807,0.9920318725099602,0.9829666624943865,0.9959839357429718,0.9654002713704206,9000.0,324400.0,15.0,0.3911061949536879,0.6088938050463122,9999.333333333334,26.308909710566397,15079.466666666667,587.3041385101174,9.799999999999999,0.42761798705987897,5.3999999999999995,0.21380899352993948,5.3999999999999995,0.21380899352993948,3.6666666666666665,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.927304888,5.5142481779522366E-8,10000.0,0.9986758675867586,0.9256015596557282,0.978,0.9559815122351387,0.9992159874557993,1.02020202020202,0.9777032220254958,0.994059405940594,0.9552299552299551,10000.0,353992.0,15.0,0.5275397943978689,0.472460205602131,11131.133333333333,29.37246307856372,17034.13333333333,546.1087792099287,11.4,0.4,6.2,0.2,6.2,0.2,4.2,0.1447493728911492,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.00602668,6.299195242298974E-8,11000.0,0.996482297431957,0.9259417871867744,0.978,0.9560096778708683,0.9986758675867586,0.9569471624266145,0.9782183524112483,0.9938650306748467,0.9552432032550398,11000.0,385432.0,15.0,0.37779711861237525,0.6222028813876249,12237.666666666668,28.64772353071117,19113.066666666666,742.1062911076737,12.733333333333334,0.511456060270383,6.866666666666667,0.2557280301351915,6.866666666666667,0.2557280301351915,4.466666666666668,0.1918994445677132,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.076210101,7.021301083056876E-8,12000.0,0.9971759220314134,0.9360727591062776,0.982,0.9639863147996238,0.996482297431957,0.9267822736030829,0.9824162379376828,0.9958419958419958,0.9633152173913043,12000.0,397712.0,15.0,0.42391834585188265,0.5760816541481172,13347.266666666666,24.326248153103,19925.333333333332,650.778132528881,13.266666666666667,0.43057731639837393,7.133333333333334,0.21528865819918697,7.133333333333334,0.21528865819918697,4.733333333333334,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.156713634,7.855137015183146E-8,13000.0,0.9971717528312559,0.9348456690533895,0.984,0.9679550088324007,0.9971759220314134,0.8975332068311196,0.984623284543051,0.9978858350951374,0.967300738877535,13000.0,400376.0,15.0,0.5813263516420717,0.4186736483579283,14458.333333333334,22.3784902394425,20101.333333333332,605.5210952769497,13.4,0.4,7.2,0.2,7.2,0.2,4.800000000000001,0.2,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.214465899,8.462512298027053E-8,14000.0,0.9957793922324815,0.9240275891555149,0.976,0.9519746426112987,0.9971717528312559,1.0242914979757085,0.9756685286444374,0.9920948616600791,0.950905902980713,14000.0,406528.0,15.0,0.5975930613060334,0.4024069386939666,15552.4,24.118122014862774,20507.73333333333,552.9895156731675,13.8,0.42761798705987897,7.4,0.21380899352993948,7.4,0.21380899352993948,4.933333333333334,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.283257092,9.248440978522101E-8,15000.0,0.9972519560312965,0.934561920893198,0.985,0.9699968796754862,0.9957793922324815,1.0080321285140563,0.9848936593604022,0.9960159362549801,0.9693335150606515,15000.0,441624.0,15.0,0.398304735155469,0.6016952648445311,16630.866666666672,25.805474994321205,22826.133333333335,791.4647413659037,15.666666666666666,0.6068393265551997,8.333333333333334,0.30341966327759984,8.333333333333334,0.30341966327759984,5.666666666666667,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.362523253,1.0262497796058239E-7,16000.0,0.9942399078385254,0.9164349471032499,0.975,0.9500059992800863,0.9972519560312965,0.9920318725099602,0.9749211288813678,0.9919678714859438,0.9488229273285568,16000.0,494512.0,15.0,0.5577058187351556,0.4422941812648444,17740.86666666667,20.04254205592412,26320.533333333333,794.8115432014994,18.46666666666667,0.5333333333333333,9.733333333333334,0.26666666666666666,9.733333333333334,0.26666666666666666,6.266666666666667,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.425242173,1.1096497850581588E-7,17000.0,0.9973879895519582,0.923542359534974,0.977,0.9539966877615188,0.9942399078385254,1.0040080160320641,0.9768171869327785,0.9940119760479041,0.952880212099301,17000.0,514008.0,15.0,0.7125933498287769,0.2874066501712233,18836.466666666664,18.873480176381165,27610.13333333333,750.4931068917712,19.133333333333333,0.6005288674451217,10.066666666666666,0.30026443372256084,10.066666666666666,0.30026443372256084,6.466666666666668,0.1652319197418807,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.486980584,1.1946617726752532E-7,18000.0,0.9987290717813843,0.9408558288547811,0.986,0.971902896409993,0.9973879895519582,1.1008403361344539,0.9853084789893785,0.9980916030534351,0.9712787782083429,18000.0,532264.0,15.0,0.49299822795468584,0.5070017720453143,19938.466666666667,22.939229585325,28818.133333333335,950.2067036611243,19.8,0.6110100926607787,10.4,0.30550504633038933,10.4,0.30550504633038933,6.800000000000001,0.22253945610567474,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.548110772,1.2803316668692767E-7,19000.0,0.9945672176793459,0.9282517635901064,0.979,0.9580110850735406,0.9987290717813843,0.9762845849802372,0.9790577264801992,0.9959514170040485,0.9569439948203302,19000.0,541720.0,15.0,0.5115164788445734,0.4884835211554266,21057.333333333332,23.47169859470411,29444.266666666666,910.1333835614512,20.066666666666666,0.6130848357878507,10.533333333333333,0.30654241789392533,10.533333333333333,0.30654241789392533,6.866666666666667,0.21528865819918697,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.609137043,1.3667880246555636E-7,20000.0,0.9991742527187529,0.9494822660251114,0.988,0.9759712616289081,0.9945672176793459,0.9120458891013384,0.9883901822977659,0.9979035639412998,0.9753694581280788,20000.0,547624.0,15.0,0.5609721247872494,0.4390278752127505,22153.466666666667,22.687077644850806,29834.666666666664,855.5629206032196,20.333333333333336,0.574594404914223,10.666666666666668,0.2872972024571115,10.666666666666668,0.2872972024571115,7.0,0.21821789023599236,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.675424802,1.4643613307226237E-7,21000.0,0.9985441473095191,0.9427888006514084,0.987,0.9734771822158386,0.9991742527187529,1.2935779816513762,0.9849789267992144,1.0,0.9732928976716885,21000.0,568984.0,15.0,0.34417872210544254,0.6558212778945576,23277.06666666667,24.60729018316995,31245.866666666665,859.3924646248466,21.666666666666668,0.5039526306789696,11.333333333333334,0.2519763153394848,11.333333333333334,0.2519763153394848,7.666666666666666,0.12598815766974245,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.74157641,1.5660372376599446E-7,22000.0,0.9981079924319697,0.9492667377185227,0.987,0.9740006239850243,0.9985441473095191,0.9960079840319361,0.9869893092590144,0.9939879759519038,0.973328359600858,22000.0,594128.0,15.0,0.4475204521996783,0.5524795478003217,24365.466666666667,25.176872733421863,32908.799999999996,703.5482533287286,22.6,0.48599431703516477,11.8,0.24299715851758238,11.8,0.24299715851758238,8.066666666666666,0.1532712089469626,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.80413267,1.6650858081062007E-7,23000.0,0.995028821618417,0.9344810369661722,0.98,0.9598994277648342,0.9981079924319697,1.079002079002079,0.9793267650984212,0.9942196531791907,0.9589468987059349,23000.0,612040.0,15.0,0.4431927501315907,0.5568072498684093,25495.333333333336,26.4563731932343,34093.33333333333,944.1648497439752,23.400000000000006,0.6233549779791837,12.200000000000003,0.31167748898959186,12.200000000000003,0.31167748898959186,8.466666666666669,0.16523191974188078,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.864532141,1.7617806989243247E-7,24000.0,0.9970512451187504,0.9458136993238639,0.986,0.971985656656208,0.995028821618417,1.032520325203252,0.985834062310891,0.9940944881889764,0.9712673165726013,24000.0,618832.0,15.0,0.32101916778849987,0.6789808322115003,26597.93333333333,24.723704967127908,34542.933333333334,881.7609624612757,23.66666666666667,0.6068393265551995,12.333333333333336,0.3034196632775997,12.333333333333336,0.3034196632775997,8.533333333333335,0.16523191974188073,0.0,0.0,0.0,0.0,1.0,0.0
