learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.146013716,5.313421223784486E-9,1000.0,0.9620869936337447,0.6816384462560957,0.966,0.7964973604510573,0.0,0.10253583241455347,0.8900704152469493,0.8064516129032258,0.6344086021505372,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.228211521,8.30458927018568E-9,2000.0,0.9965445665445666,0.7884800600659784,0.982,0.8922671774000477,0.9620869936337447,0.0989010989010989,0.9545022163800779,0.9222222222222223,0.8032786885245901,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.292919865,1.0659317975025626E-8,3000.0,0.9951256092988376,0.7551767179163891,0.982,0.9109025570966113,0.9965445665445666,0.12485939257592801,0.9660110101649716,0.9459459459459459,0.8163265306122447,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.407954746,1.609651702678245E-8,4000.0,0.9944567627494457,0.7034547619589645,0.978,0.8720692221808707,0.9951256092988376,0.10864745011086474,0.9217053234083221,0.8571428571428571,0.7755102040816324,4000.0,182704.0,15.0,3983.5333333333333,15.59727285889813,5722.666666666668,37.33333333333338,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.474174279,1.9438166319727897E-8,5000.0,0.9943119786890258,0.7536840330956717,0.979,0.8858621214427026,0.9944567627494457,0.11358574610244988,0.9438814898657664,0.9019607843137255,0.7874493927125504,5000.0,195064.0,15.0,4983.866666666667,16.370666759748385,6540.266666666666,437.53969579550755,3.5333333333333337,0.30654241789392533,2.266666666666667,0.15327120894696272,2.266666666666667,0.15327120894696272,1.2666666666666668,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.531725952,2.235491416548689E-8,6000.0,0.9975190998173061,0.7793718882437529,0.985,0.921185372005044,0.9943119786890258,0.1210762331838565,0.954201628265303,0.9166666666666666,0.8504983388704318,6000.0,195904.0,15.0,5980.666666666666,20.516350428880724,6596.266666666668,429.82653717923483,3.5333333333333337,0.30654241789392533,2.266666666666667,0.15327120894696272,2.266666666666667,0.15327120894696272,1.2666666666666668,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.62088775,2.8161512352116405E-8,7000.0,0.9975198600042804,0.7921966248749159,0.986,0.9153925182812593,0.9975190998173061,0.09529025191675794,0.9766701098791581,0.9655172413793104,0.857764876632801,7000.0,251736.0,15.0,6977.400000000001,20.572473518433963,10283.2,563.1296492858123,6.466666666666667,0.4125030062420518,3.7333333333333334,0.2062515031210259,3.7333333333333334,0.2062515031210259,2.1333333333333337,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.69060648,3.315265751388338E-8,8000.0,0.9881108345342592,0.7474385401491418,0.981,0.8967323955910167,0.9975198600042804,0.11358574610244988,0.9495322132922369,0.9117647058823529,0.8078381795195954,8000.0,276728.0,15.0,7989.533333333332,23.421168013382918,11936.533333333335,426.17624195436946,7.533333333333334,0.3065424178939254,4.2666666666666675,0.15327120894696272,4.2666666666666675,0.15327120894696272,2.266666666666667,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.749468694,3.741153977122572E-8,9000.0,0.9974023832103245,0.7991597961298247,0.988,0.9184793684868411,0.9881108345342592,0.08577633007600434,0.9641522009492058,0.9367088607594937,0.8758620689655171,9000.0,279680.0,15.0,8997.666666666668,24.060175882400852,12131.733333333334,444.8055269726275,7.666666666666667,0.3187276291558383,4.333333333333333,0.15936381457791912,4.333333333333333,0.15936381457791912,2.3333333333333335,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.811927398,4.2030432861712245E-8,10000.0,0.991468492445055,0.7729111916315414,0.988,0.9366874894479148,0.9974023832103245,0.11607142857142858,0.9761932681100074,0.9615384615384616,0.8767967145790554,10000.0,285856.0,15.0,10008.4,25.97284296007217,12540.266666666666,585.4754312820654,7.933333333333335,0.43057731639837393,4.466666666666668,0.21528865819918697,4.466666666666668,0.21528865819918697,2.466666666666667,0.21528865819918697,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.881490969,4.741415976969939E-8,11000.0,0.995108956723001,0.7559081306697429,0.983,0.9083953012178035,0.991468492445055,0.11358574610244988,0.9596879269171904,0.9313725490196079,0.8262081784386616,11000.0,299160.0,15.0,11014.466666666669,24.648745098293183,13419.199999999999,804.0714680389334,8.6,0.5920102959207638,4.8,0.2960051479603819,4.8,0.2960051479603819,2.666666666666667,0.2323106841457232,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.941742157,5.2085653637823544E-8,12000.0,0.9968046242333483,0.8042305220641027,0.984,0.924785874787285,0.995108956723001,0.13507377979568672,0.9689176436840626,0.9495798319327731,0.8393305439330543,12000.0,299704.0,15.0,12011.333333333334,19.574440736805958,13454.933333333336,823.0473889421221,8.733333333333336,0.6723566702751541,4.866666666666668,0.33617833513757706,4.866666666666668,0.33617833513757706,2.7333333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.999969949,5.6600145742075725E-8,13000.0,0.9989848353235445,0.8122291811865184,0.992,0.9584790890312133,0.9968046242333483,0.11982082866741321,0.9831177431556256,0.9719626168224299,0.9201228878648233,13000.0,299696.0,15.0,13006.666666666666,18.024234127224805,13453.866666666667,822.4508661929823,8.866666666666667,0.7675977782708527,4.933333333333334,0.38379888913542637,4.933333333333334,0.38379888913542637,2.7333333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.056626306,6.10724190660442E-8,14000.0,0.9956056784766352,0.7707460768066448,0.981,0.8967346406365494,0.9989848353235445,0.11234705228031146,0.9536904294906974,0.9207920792079208,0.810406272273699,14000.0,305128.0,15.0,13999.133333333333,20.74743051599094,13813.333333333334,1061.8274035457148,9.000000000000002,0.7559289460184544,5.000000000000001,0.3779644730092272,5.000000000000001,0.3779644730092272,2.8000000000000003,0.2618614682831909,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.123997184,6.673443939051281E-8,15000.0,0.9988268530932771,0.77971184314359,0.99,0.9407245827010622,0.9956056784766352,0.1013215859030837,0.974782596735444,0.9565217391304348,0.8996655518394648,15000.0,324864.0,15.0,14986.666666666666,23.599569541406524,15118.400000000001,1095.5105476443393,9.8,0.8,5.4,0.4,5.4,0.4,3.1999999999999997,0.27945525240230873,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.205231983,7.41835096705022E-8,16000.0,0.9887155527399429,0.7476282052549861,0.983,0.9042771233586341,0.9988268530932771,0.10864745011086474,0.9535219118519179,0.9183673469387755,0.8292529817953546,16000.0,354456.0,15.0,15983.066666666668,18.348859226683135,17073.6,888.5407877123992,11.26666666666667,0.6434036477735061,6.133333333333335,0.32170182388675306,6.133333333333335,0.32170182388675306,3.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.267505953,8.016559390660997E-8,17000.0,0.9981112637362637,0.7753794016447212,0.989,0.9422050355176327,0.9887155527399429,0.11607142857142858,0.9810620926681092,0.9711538461538461,0.8898055391868002,17000.0,371320.0,15.0,16985.866666666665,18.976643957059927,18188.26666666667,794.9439720698301,12.066666666666668,0.5811865258054233,6.533333333333334,0.29059326290271165,6.533333333333334,0.29059326290271165,4.133333333333334,0.13333333333333336,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.32196491,8.552950741326645E-8,18000.0,0.9967717156618502,0.7740662536923876,0.985,0.9224629890000826,0.9981112637362637,0.1210762331838565,0.9627034195988353,0.9351851851851852,0.8504155124653738,18000.0,380728.0,15.0,17975.0,23.70613744119764,18810.66666666666,904.3777269569791,12.466666666666667,0.6609276789675227,6.733333333333333,0.33046383948376135,6.733333333333333,0.33046383948376135,4.2,0.1447493728911492,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.38217268,9.173752014060403E-8,19000.0,0.9961901050968168,0.7928243006803627,0.984,0.9162890956083166,0.9967717156618502,0.11482720178372352,0.9738103784851783,0.9611650485436893,0.840670859538784,19000.0,398568.0,15.0,18973.933333333334,23.394436999844242,19988.8,1028.935664609193,13.4,0.7609517849690736,7.199999999999999,0.3804758924845366,7.199999999999999,0.3804758924845366,4.266666666666667,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.436334584,9.737135384499614E-8,20000.0,0.9978159785824996,0.8085818101137922,0.989,0.9357251373144793,0.9961901050968168,0.10375275938189846,0.9698135158889868,0.9468085106382979,0.89010989010989,20000.0,402080.0,15.0,19965.133333333335,23.0181846677106,20221.333333333332,1109.0047132308562,13.533333333333333,0.8157185944900518,7.2666666666666675,0.4078592972450259,7.2666666666666675,0.4078592972450259,4.333333333333334,0.18687063686046268,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.491251833,1.0312558311072076E-7,21000.0,0.9973374029937981,0.8095002173955892,0.987,0.9317011663339287,0.9978159785824996,0.11482720178372352,0.979821525249321,0.970873786407767,0.8703087885985747,21000.0,405024.0,15.0,20965.4,23.9522938557539,20416.0,1145.1646419370695,13.666666666666668,0.8432740427115678,7.333333333333334,0.4216370213557839,7.333333333333334,0.4216370213557839,4.333333333333334,0.18687063686046268,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.545093303,1.0884565083760356E-7,22000.0,0.9957222222222222,0.7924412657440031,0.982,0.9025974025974025,0.9973374029937981,0.1111111111111111,0.9630507082530321,0.94,0.820408163265306,22000.0,410664.0,15.0,21961.266666666663,23.39789707006977,20787.2,1111.216935658937,14.333333333333334,0.7474825474418508,7.666666666666667,0.37374127372092536,7.666666666666667,0.37374127372092536,4.666666666666667,0.18687063686046268,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.598360818,1.146469552711915E-7,23000.0,0.997912087912088,0.811161766996076,0.991,0.9469151822578742,0.9957222222222222,0.0989010989010989,0.9900481605433951,0.9888888888888889,0.9098039215686273,23000.0,420984.0,15.0,22979.600000000002,26.0360190066433,21469.86666666667,1010.8472159373318,14.6,0.7354946505260122,7.800000000000001,0.3677473252630062,7.800000000000001,0.3677473252630062,4.666666666666667,0.18687063686046268,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.653257293,1.2077291170455103E-7,24000.0,0.9955305805503195,0.7826313399202353,0.98,0.8869046945861276,0.997912087912088,0.10253583241455347,0.9646697172887211,0.946236559139785,0.7989949748743718,24000.0,431352.0,15.0,23965.666666666668,24.246289194071373,22154.666666666668,1098.9140729295168,15.133333333333331,0.7675977782708524,8.066666666666666,0.3837988891354262,8.066666666666666,0.3837988891354262,4.733333333333334,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
