learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.161573643,1.2305689483880996E-10,1000.0,0.8982772202623557,0.2569350228361462,0.916,0.2412061209372912,0.0,0.10741971207087486,0.3928061536125094,0.15463917525773196,0.1340206185567012,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.196356514,1.4954804784721798E-10,2000.0,0.961937906805141,0.2938436436221686,0.912,0.24243728585940344,0.8982772202623557,0.11234705228031146,0.39735022511746043,0.15841584158415842,0.11111111111111123,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.218039341,1.660620120830006E-10,3000.0,0.9485991412596917,0.24445286610727057,0.898,0.14405115553094017,0.961937906805141,0.122334455667789,0.30238091850278326,0.09174311926605505,0.0032573289902287374,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.251873238,2.1493794519454242E-10,4000.0,0.8913751753473008,0.2446418457956161,0.913,0.22090482501701494,0.9485991412596917,0.10864745011086474,0.3773354054891573,0.14285714285714285,0.14074074074074067,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.280287814,2.7750856027421027E-10,5000.0,0.9297824258454179,0.27581459503579353,0.897,0.2243041330280759,0.8913751753473008,0.12485939257592801,0.40042235932809356,0.16216216216216217,0.0019379844961238183,5000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.303673038,3.2900423803677167E-10,6000.0,0.9366761268157885,0.3389784806106529,0.895,0.3581122386599832,0.9297824258454179,0.13895216400911162,0.5373047241146157,0.29508196721311475,0.012539184952977726,6000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.322032117,3.694320404902101E-10,7000.0,0.9543108258928571,0.3623350603899048,0.922,0.44457103794007097,0.9366761268157885,0.11607142857142858,0.5850559990103699,0.34615384615384615,0.2641509433962267,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.338986626,4.0676689484467115E-10,8000.0,0.954348385989011,0.3593006188116821,0.92,0.4549220538537018,0.9543108258928571,0.11607142857142858,0.6072249156731677,0.375,0.24349881796690354,8000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.355273439,4.4263144221984687E-10,9000.0,0.9515817835165713,0.3495796582368492,0.914,0.3467924470977836,0.954348385989011,0.10741971207087486,0.5228943506109817,0.27835051546391754,0.1792152704135738,9000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.377218723,5.059442531607218E-10,10000.0,0.9281573425329872,0.3103920706458301,0.912,0.25571324661265016,0.9515817835165713,0.10253583241455347,0.43677713387920286,0.1935483870967742,0.1505791505791511,10000.0,11152.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.398417302,5.81580788621472E-10,11000.0,0.926082678332207,0.28789707590096675,0.909,0.15468361015122895,0.9281573425329872,0.10253583241455347,0.32646357193425657,0.10752688172043011,0.11337466784765309,11000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.412788016,6.328554999621379E-10,12000.0,0.955620332765623,0.33897531886186605,0.916,0.33269780743565386,0.926082678332207,0.11358574610244988,0.4834480288446088,0.23529411764705882,0.18115353371242948,12000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.432802748,7.209199557660356E-10,13000.0,0.9258836944127709,0.3584476582036887,0.9,0.38636001030915174,0.955620332765623,0.1402508551881414,0.5510526291580267,0.3089430894308943,0.039881831610044514,13000.0,17008.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
