learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.183168223,1.3950364884403015E-10,1000.0,0.971664205926655,0.7610686609714559,0.955,0.8897231806775407,0.0,0.3869625520110957,0.9511766654003826,0.942652329749104,0.8387096774193548,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.226771257,1.7271236946185429E-10,2000.0,0.9858935270397482,0.7526865976575927,0.954,0.8934252656259412,0.971664205926655,0.447178002894356,0.9514854621576625,0.9449838187702265,0.8435374149659863,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.257671778,1.9624666684203677E-10,3000.0,0.9840421648927627,0.7589871487739631,0.956,0.8952984232894379,0.9858935270397482,0.40646976090014064,0.9577530047145766,0.9619377162629758,0.8494868871151652,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.319623389,3.3266786156429183E-10,4000.0,0.954918987257544,0.7313648327395874,0.928,0.8330032054106963,0.9840421648927627,0.43061516452074394,0.9267385748648427,0.9235880398671097,0.7555178268251275,4000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.343574264,3.8540913704368804E-10,5000.0,0.9841374474053296,0.7872236141265934,0.952,0.891647855530474,0.954918987257544,0.4492753623188406,0.9613279735089224,0.9870967741935484,0.8387096774193546,5000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.377273769,4.826332326109211E-10,6000.0,0.9760340073529412,0.7763194396069919,0.948,0.8845265588914548,0.9841374474053296,0.47058823529411764,0.9572550946202745,0.984375,0.8274336283185839,6000.0,11152.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
7000.0,0.404935629,5.624385389561455E-10,7000.0,0.9866709754167077,0.8022404784924303,0.959,0.9065803864382063,0.9760340073529412,0.447178002894356,0.9656932113433883,0.9838187702265372,0.8644307982994802,7000.0,11152.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
8000.0,0.425834847,6.22733417712152E-10,8000.0,0.9856986172775647,0.7926249343605563,0.955,0.8965612357484368,0.9866709754167077,0.422475106685633,0.9665685847324396,0.9966329966329966,0.8508699254349625,8000.0,11152.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.450644074,6.943087912019757E-10,9000.0,0.9825237715828797,0.7832115868127071,0.953,0.8921226588321703,0.9856986172775647,0.42653352353780316,0.9632387316471948,0.9899665551839465,0.8440840398083301,9000.0,11152.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.467352137,7.425120604741905E-10,10000.0,0.985121120656296,0.8007199922832764,0.962,0.9107880700172789,0.9825237715828797,0.4124293785310734,0.968987417262523,0.9863013698630136,0.8735440931780365,10000.0,11152.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
