learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.149724528,5.448457217514515E-9,1000.0,0.9620869936337447,0.6816384462560957,0.966,0.7964973604510573,0.0,0.10253583241455347,0.8900704152469493,0.8064516129032258,0.6344086021505372,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.232272795,8.452378533128648E-9,2000.0,0.9965445665445666,0.7884800600659784,0.982,0.8922671774000477,0.9620869936337447,0.0989010989010989,0.9545022163800779,0.9222222222222223,0.8032786885245901,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.297606501,1.0829864084478467E-8,3000.0,0.9951256092988376,0.7551767179163891,0.982,0.9109025570966113,0.9965445665445666,0.12485939257592801,0.9660110101649716,0.9459459459459459,0.8163265306122447,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.405021947,1.5906925546690407E-8,4000.0,0.9944567627494457,0.7034547619589645,0.978,0.8720692221808707,0.9951256092988376,0.10864745011086474,0.9217053234083221,0.8571428571428571,0.7755102040816324,4000.0,182704.0,15.0,3983.5333333333333,15.59727285889813,5722.666666666668,37.33333333333338,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.47450803,1.9413415393523043E-8,5000.0,0.9943119786890258,0.7536840330956717,0.979,0.8858621214427026,0.9944567627494457,0.11358574610244988,0.9438814898657664,0.9019607843137255,0.7874493927125504,5000.0,195064.0,15.0,4983.866666666667,16.370666759748385,6540.266666666666,437.53969579550755,3.5333333333333337,0.30654241789392533,2.266666666666667,0.15327120894696272,2.266666666666667,0.15327120894696272,1.2666666666666668,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.536122542,2.2536069971149164E-8,6000.0,0.9975190998173061,0.7793718882437529,0.985,0.921185372005044,0.9943119786890258,0.1210762331838565,0.954201628265303,0.9166666666666666,0.8504983388704318,6000.0,195904.0,15.0,5980.666666666666,20.516350428880724,6596.266666666668,429.82653717923483,3.5333333333333337,0.30654241789392533,2.266666666666667,0.15327120894696272,2.266666666666667,0.15327120894696272,1.2666666666666668,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.627076007,2.8459349186948188E-8,7000.0,0.9975198600042804,0.7921966248749159,0.986,0.9153925182812593,0.9975190998173061,0.09529025191675794,0.9766701098791581,0.9655172413793104,0.857764876632801,7000.0,251736.0,15.0,6977.400000000001,20.572473518433963,10283.2,563.1296492858123,6.466666666666667,0.4125030062420518,3.7333333333333334,0.2062515031210259,3.7333333333333334,0.2062515031210259,2.1333333333333337,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.694793977,3.330726047750355E-8,8000.0,0.9881108345342592,0.7474385401491418,0.981,0.8967323955910167,0.9975198600042804,0.11358574610244988,0.9495322132922369,0.9117647058823529,0.8078381795195954,8000.0,276728.0,15.0,7989.533333333332,23.421168013382918,11936.533333333335,426.17624195436946,7.533333333333334,0.3065424178939254,4.2666666666666675,0.15327120894696272,4.2666666666666675,0.15327120894696272,2.266666666666667,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.753215324,3.7534244501385836E-8,9000.0,0.9974023832103245,0.7991597961298247,0.988,0.9184793684868411,0.9881108345342592,0.08577633007600434,0.9641522009492058,0.9367088607594937,0.8758620689655171,9000.0,279680.0,15.0,8997.666666666668,24.060175882400852,12131.733333333334,444.8055269726275,7.666666666666667,0.3187276291558383,4.333333333333333,0.15936381457791912,4.333333333333333,0.15936381457791912,2.3333333333333335,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.814607404,4.207425951870986E-8,10000.0,0.991468492445055,0.7729111916315414,0.988,0.9366874894479148,0.9974023832103245,0.11607142857142858,0.9761932681100074,0.9615384615384616,0.8767967145790554,10000.0,285856.0,15.0,10008.4,25.97284296007217,12540.266666666666,585.4754312820654,7.933333333333335,0.43057731639837393,4.466666666666668,0.21528865819918697,4.466666666666668,0.21528865819918697,2.466666666666667,0.21528865819918697,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.880191457,4.71499999643945E-8,11000.0,0.995108956723001,0.7559081306697429,0.983,0.9083953012178035,0.991468492445055,0.11358574610244988,0.9596879269171904,0.9313725490196079,0.8262081784386616,11000.0,299160.0,15.0,11014.466666666669,24.648745098293183,13419.199999999999,804.0714680389334,8.6,0.5920102959207638,4.8,0.2960051479603819,4.8,0.2960051479603819,2.666666666666667,0.2323106841457232,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.939305376,5.1733317228268003E-8,12000.0,0.9968046242333483,0.8042305220641027,0.984,0.924785874787285,0.995108956723001,0.13507377979568672,0.9689176436840626,0.9495798319327731,0.8393305439330543,12000.0,299704.0,15.0,12011.333333333334,19.574440736805958,13454.933333333336,823.0473889421221,8.733333333333336,0.6723566702751541,4.866666666666668,0.33617833513757706,4.866666666666668,0.33617833513757706,2.7333333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.995018901,5.605287426578295E-8,13000.0,0.9989848353235445,0.8122291811865184,0.992,0.9584790890312133,0.9968046242333483,0.11982082866741321,0.9831177431556256,0.9719626168224299,0.9201228878648233,13000.0,299696.0,15.0,13006.666666666666,18.024234127224805,13453.866666666667,822.4508661929823,8.866666666666667,0.7675977782708527,4.933333333333334,0.38379888913542637,4.933333333333334,0.38379888913542637,2.7333333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.052119865,6.056024345773583E-8,14000.0,0.9956056784766352,0.7707460768066448,0.981,0.8967346406365494,0.9989848353235445,0.11234705228031146,0.9536904294906974,0.9207920792079208,0.810406272273699,14000.0,305128.0,15.0,13999.133333333333,20.74743051599094,13813.333333333334,1061.8274035457148,9.000000000000002,0.7559289460184544,5.000000000000001,0.3779644730092272,5.000000000000001,0.3779644730092272,2.8000000000000003,0.2618614682831909,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.121606428,6.640007134276753E-8,15000.0,0.9988268530932771,0.77971184314359,0.99,0.9407245827010622,0.9956056784766352,0.1013215859030837,0.974782596735444,0.9565217391304348,0.8996655518394648,15000.0,324864.0,15.0,14986.666666666666,23.599569541406524,15118.400000000001,1095.5105476443393,9.8,0.8,5.4,0.4,5.4,0.4,3.1999999999999997,0.27945525240230873,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.202425523,7.381102238876124E-8,16000.0,0.9887155527399429,0.7476282052549861,0.983,0.9042771233586341,0.9988268530932771,0.10864745011086474,0.9535219118519179,0.9183673469387755,0.8292529817953546,16000.0,354456.0,15.0,15983.066666666668,18.348859226683135,17073.6,888.5407877123992,11.26666666666667,0.6434036477735061,6.133333333333335,0.32170182388675306,6.133333333333335,0.32170182388675306,3.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.262299044,7.956251769465498E-8,17000.0,0.9981112637362637,0.7753794016447212,0.989,0.9422050355176327,0.9887155527399429,0.11607142857142858,0.9810620926681092,0.9711538461538461,0.8898055391868002,17000.0,371320.0,15.0,16985.866666666665,18.976643957059927,18188.26666666667,794.9439720698301,12.066666666666668,0.5811865258054233,6.533333333333334,0.29059326290271165,6.533333333333334,0.29059326290271165,4.133333333333334,0.13333333333333336,0.0,0.0,0.0,0.0,1.0,0.0
