learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.131470094,4.790166609961954E-9,1000.0,0.858475124662175,0.4810524203076902,0.958,0.39629150495903465,0.0,0.02774922918807811,0.733775443671805,0.5555555555555556,-0.5555555555555556,1000.0,140840.0,15.0,0.9099988556000661,0.09000114439993387,55.0,1.158817130895614,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.198526573,7.2333968299648006E-9,2000.0,0.984441636392355,0.7927392863154931,0.929,0.3882474582112707,0.858475124662175,0.026694045174537988,0.9446872787603916,0.9615384615384616,-1.6792452830188693,2000.0,140840.0,15.0,0.999945940997134,5.40590028659664E-5,106.13333333333334,2.565089187471371,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.248091226,9.039305220316683E-9,3000.0,0.9813706892358578,0.795505409083208,0.917,0.30085245459752746,0.984441636392355,0.021450459652706845,0.9341362510532838,0.9523809523809523,-2.3648648648648702,3000.0,140840.0,15.0,0.999157851787145,8.421482128549694E-4,146.60000000000002,2.2271057451320084,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.294891572,1.0744494955283073E-8,4000.0,0.9803312629399586,0.7925894281768148,0.91,0.3982670089858797,0.9813706892358578,0.035196687370600416,0.9522774270855348,1.0,-2.333333333333329,4000.0,140840.0,15.0,0.9684543798289303,0.031545620171069544,211.2666666666667,2.575464205345491,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.333359032,1.214607258298331E-8,5000.0,0.9799312714776632,0.8048582627697015,0.902,0.34805747738158666,0.9803312629399586,0.030927835051546393,0.9481397956867692,1.0,-2.550724637681164,5000.0,140840.0,15.0,0.9999880290449503,1.1970955049564627E-5,270.4,3.7363083384538793,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.369302853,1.3455700392245007E-8,6000.0,0.9847766323024055,0.8162411951783373,0.924,0.4137611848195009,0.9799312714776632,0.030927835051546393,0.9600257728499181,1.0,-1.7142857142857104,6000.0,140840.0,15.0,0.999997830791085,2.1692089148263275E-6,326.8,4.838535787966083,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.403592881,1.470507157760569E-8,7000.0,0.9878065061634996,0.8319888567918858,0.913,0.3199937470689385,0.9847766323024055,0.02354145342886387,0.9544379987991304,1.0,-2.1884816753926737,7000.0,140840.0,15.0,0.9549250478858281,0.04507495211417183,369.8,5.289882526375906,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.438776434,1.598699871154709E-8,8000.0,0.9907692307692307,0.8484915657219959,0.916,0.346557759626605,0.9878065061634996,0.02564102564102564,0.9559530081788298,1.0,-2.111111111111107,8000.0,140840.0,15.0,0.9794021066980768,0.020597893301923072,418.1333333333334,5.469279282777199,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.4721745,1.720387089687089E-8,9000.0,0.9841371331141152,0.8381211992698249,0.916,0.4165694282380399,0.9907692307692307,0.035196687370600416,0.9555330859059091,1.0,-2.0239999999999974,9000.0,140840.0,15.0,0.9571701367338803,0.04282986326611965,483.33333333333337,6.661664790259098,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.505354287,1.841278999761368E-8,10000.0,0.9855232216343327,0.8222916684111146,0.918,0.3780339805825249,0.9841371331141152,0.02880658436213992,0.9568896802047269,1.0,-1.9496402877697778,10000.0,140840.0,15.0,0.9901454013287039,0.009854598671296125,539.8000000000001,6.603173840048798,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
